file	category	phrase
xin-chao.jpg	greeting	Xin chào!
chao-buoi-sang.jpg	greeting	Chào buổi sáng!
cam-on-ban-nhieu.jpg	greeting	Cảm ơn bạn nhiều.
toi-ten-la-nam.jpg	greeting	Tôi tên là Nam.
ban-khoe-khong.jpg	greeting	Bạn khỏe không?
toi-la-nguoi-nhat.jpg	greeting	Tôi là người Nhật.
rat-vui-duoc-gap-ban.jpg	greeting	Rất vui được gặp bạn.
hom-nay-troi-dep-qua.jpg	greeting	Hôm nay trời đẹp quá!
toi-muon-hoc-tieng-viet.jpg	greeting	Tôi muốn học tiếng Việt.
ngay-mai-toi-di-lam.jpg	greeting	Ngày mai tôi đi làm.
hen-gap-lai-nhe.jpg	greeting	Hẹn gặp lại nhé!
chuc-ngu-ngon.jpg	greeting	Chúc ngủ ngon!
cho-toi-mot-ly-ca-phe-sua-da.jpg	food	Cho tôi một ly cà phê sữa đá.
mon-nay-rat-ngon.jpg	food	Món này rất ngon.
toi-muon-an-pho-bo.jpg	food	Tôi muốn ăn phở bò.
toi-thich-an-banh-mi.jpg	food	Tôi thích ăn bánh mì.
mon-nay-co-cay-khong.jpg	food	Món này có cay không?
cho-toi-them-rau-thom.jpg	food	Cho tôi thêm rau thơm.
toi-khong-an-duoc-thit.jpg	food	Tôi không ăn được thịt.
chi-oi-tinh-tien.jpg	food	Chị ơi, tính tiền!
trai-cay-o-day-rat-tuoi.jpg	food	Trái cây ở đây rất tươi.
bun-cha-la-mon-ha-noi.jpg	food	Bún chả là món Hà Nội.
con-meo-dang-ngu.jpg	animal	Con mèo đang ngủ.
con-cho-rat-trung-thanh.jpg	animal	Con chó rất trung thành.
toi-nuoi-mot-con-chim.jpg	animal	Tôi nuôi một con chim.
con-trau-dang-an-co.jpg	animal	Con trâu đang ăn cỏ.
con-voi-rat-to.jpg	animal	Con voi rất to.
con-ca-boi-trong-ao.jpg	animal	Con cá bơi trong ao.
con-ga-gay-moi-sang.jpg	animal	Con gà gáy mỗi sáng.
toi-so-con-ran.jpg	animal	Tôi sợ con rắn.
con-khi-leo-cay-rat-gioi.jpg	animal	Con khỉ leo cây rất giỏi.
con-buom-dau-tren-hoa.jpg	animal	Con bướm đậu trên hoa.
hoa-sen-la-quoc-hoa.jpg	flower	Hoa sen là quốc hoa.
hoa-dao-no-vao-mua-xuan.jpg	flower	Hoa đào nở vào mùa xuân.
hoa-mai-vang-rat-dep.jpg	flower	Hoa mai vàng rất đẹp.
toi-tang-em-mot-bo-hoa.jpg	flower	Tôi tặng em một bó hoa.
vuon-nha-toi-co-nhieu-hoa.jpg	flower	Vườn nhà tôi có nhiều hoa.
hoa-hong-co-gai.jpg	flower	Hoa hồng có gai.
mui-hoa-nhai-rat-thom.jpg	flower	Mùi hoa nhài rất thơm.
hoa-huong-duong-quay-ve-mat-troi.jpg	flower	Hoa hướng dương quay về mặt trời.
hoa-giay-leo-tren-tuong.jpg	flower	Hoa giấy leo trên tường.
cho-hoa-rat-dong-vao-tet.jpg	flower	Chợ hoa rất đông vào Tết.
cai-nay-gia-bao-nhieu.jpg	travel	Cái này giá bao nhiêu?
toi-khong-hieu.jpg	travel	Tôi không hiểu.
xin-loi-nha-ve-sinh-o-dau.jpg	travel	Xin lỗi, nhà vệ sinh ở đâu?
ban-noi-tieng-anh-duoc-khong.jpg	travel	Bạn nói tiếng Anh được không?
toi-bi-lac-duong.jpg	travel	Tôi bị lạc đường.
lam-on-noi-cham-hon.jpg	travel	Làm ơn nói chậm hơn.
cho-toi-mot-ve-di-hue.jpg	travel	Cho tôi một vé đi Huế.
khach-san-o-gan-day-khong.jpg	travel	Khách sạn ở gần đây không?
toi-muon-thue-xe-may.jpg	travel	Tôi muốn thuê xe máy.
chuyen-bay-bi-hoan-roi.jpg	travel	Chuyến bay bị hoãn rồi.
toi-song-o-ha-noi.jpg	place	Tôi sống ở Hà Nội.
thanh-pho-ho-chi-minh-rat-lon.jpg	place	Thành phố Hồ Chí Minh rất lớn.
vinh-ha-long-rat-noi-tieng.jpg	place	Vịnh Hạ Long rất nổi tiếng.
da-nang-co-bai-bien-dep.jpg	place	Đà Nẵng có bãi biển đẹp.
hoi-an-la-pho-co.jpg	place	Hội An là phố cổ.
sa-pa-co-ruong-bac-thang.jpg	place	Sa Pa có ruộng bậc thang.
hue-tung-la-kinh-do.jpg	place	Huế từng là kinh đô.
da-lat-mat-quanh-nam.jpg	place	Đà Lạt mát quanh năm.
phu-quoc-la-mot-hon-dao.jpg	place	Phú Quốc là một hòn đảo.
song-me-kong-chay-ra-bien.jpg	place	Sông Mê Kông chảy ra biển.
